decision,tier,university_slug,proposed_slug,program_name,department_school,category,evidence_url,placement_url,faculty_directory_url,notes
,B-unverified,bostonu,bostonu-questrom-busecon,PhD in Business Economics (Questrom),Questrom School of Business (with CAS Department of Economics),business-econ,https://www.bu.edu/academics/questrom/programs/phd-in-business-economics/,,https://www.bu.edu/questrom/faculty/academic-departments/markets-public-policy-law/,"Distinct doctoral program with its own admissions through Questrom (one of Questrom's two PhD programs alongside the PhD in Business Administration, per https://www.bu.edu/questrom/phd-program/). Newly launched (announced/launched ~2025 per Questrom Insights article); fully funded. Students take cor"
,B-unverified,indiana,indiana-kelley-bepp,PhD in Business Economics & Public Policy (Kelley School of Business),"Kelley School of Business, Department of Business Economics & Public Policy (BEPP)",business-econ,https://kelley.iu.edu/faculty-research/departments/business-economics-public-policy/phd/index.html,https://kelley.iu.edu/faculty-research/departments/business-economics-public-policy/phd/alumni/index.html,https://kelley.iu.edu/faculty-research/departments/business-economics-public-policy/faculty/index.html,"Economics-based doctoral program in applied microeconomics; distinct Kelley PhD major with its own admissions (1-2 students/year, ~20 research faculty). Explicitly aims to place graduates at business schools, econ departments, and policy institutions. Has its own job-market-candidates page (kelley.i"
,B-unverified,michigan,michigan-ross-busecon,Joint PhD in Business and Economics (Ross),Stephen M. Ross School of Business (joint with LSA Department of Economics),business-econ,https://michiganross.umich.edu/phd/areas-of-study/business-economics,https://michiganross.umich.edu/phd/areas-of-study/business-economics,https://michiganross.umich.edu/faculty-research/areas-of-study/business-economics-public-policy,"Five-year joint doctoral degree between Ross and the LSA Department of Economics; admissions run through the Ross PhD program (Business Economics area), separate from LSA econ admissions. Students complete the econ core (micro/macro theory, econometrics) plus business economics courses; prepares gra"
,B-unverified,cornell,cornell-dyson-aem,PhD in Applied Economics and Management (Dyson School),"Charles H. Dyson School of Applied Economics and Management, Cornell SC Johnson College of Business",ag-resource-econ,https://business.cornell.edu/programs/ph-d-in-applied-economics-and-management/,https://business.cornell.edu/admissions/graduate/phd/aem/for-hire/,https://dyson.cornell.edu/faculty-research/search/,"Distinct graduate field (Applied Economics and Management) with its own admissions, fully funded, STEM-designated. Four concentrations: Environmental, Energy and Resource Economics; Food and Agricultural Economics; International and Development Economics; Strategy and Business Economics — so it doub"
,B-unverified,duke,duke-upep-envpolicy,"PhD in Environmental Policy (University Program in Environmental Policy, UPEP)",Nicholas School of the Environment & Sanford School of Public Policy (jointly administered),ag-resource-econ,https://gradschool.duke.edu/academics/programs-degrees/environmental-policy/,,https://nicholas.duke.edu/academics/doctoral-programs/university-program-environmental-policy-upep,"Distinct 5-year PhD with its own admissions, jointly run by the environment and public policy schools (the only such joint program in the US). Applicants must declare one of two concentrations at application: environmental economics or environmental politics. Economics-track students take the Duke E"
,B-unverified,georgia,georgia-agecon,PhD in Agricultural and Applied Economics,"Department of Agricultural & Applied Economics, College of Agricultural & Environmental Sciences",ag-resource-econ,https://agecon.uga.edu/graduate/programs-of-study/phd-program.html,https://agecon.uga.edu/graduate/recent-placements.html,https://agecon.uga.edu/people/faculty.html,"Distinct department with own admissions. Fields: applied economics and environmental economics (ag marketing/consumer demand, production econ, natural resource & environmental econ, trade & development). Placements page lists PhD outcomes 2016-2025 including assistant professorships, World Bank, CDC"
,B-unverified,michigan_state,michigan_state-afre,"PhD in Agricultural, Food, and Resource Economics","Department of Agricultural, Food, and Resource Economics, College of Agriculture and Natural Resources",ag-resource-econ,https://www.canr.msu.edu/afre/graduate/Ph.D.-Degree/index,https://www.canr.msu.edu/afre/graduate/recent_placements,https://www.canr.msu.edu/afre/people/,Distinct department and PhD with its own admissions (registrar code AFRECO_PHD). Major fields: Development Economics; Environmental and Resource Economics; Food and Agricultural Economics; Regional Economics and State/Local Government Policy. Core micro theory and econometrics courses are taken in t
,B-unverified,ohio_state,ohio_state-aede,"PhD in Agricultural, Environmental and Development Economics (AEDE)","Department of Agricultural, Environmental, and Development Economics, College of Food, Agricultural, and Environmental Sciences",ag-resource-econ,https://aede.osu.edu/graduate/phd-program,https://aede.osu.edu/graduate/phd-program/phd-alumni-careers,https://aede.osu.edu/our-people/faculty,"Fully distinct PhD with its own admissions (min 90 credit hours; students attend the Economics Department's July math camp). Fields: agricultural policy/trade, environmental and natural resource economics, development economics, regional economics, experimental economics. Runs its own job-market-can"
,B-unverified,purdue,purdue-agecon,PhD in Agricultural Economics,"Department of Agricultural Economics, College of Agriculture",ag-resource-econ,https://ag.purdue.edu/department/agecon/graduate_program/phd-program.html,https://ag.purdue.edu/department/agecon/graduate_program/career_placement.html,https://ag.purdue.edu/department/agecon/directory.html,"Distinct department and PhD program with its own admissions, separate from the Daniels School economics PhD. Core theory sequence shares ECON courses (ECON 60600/60700/60900/61500) plus AGEC field courses. Placement page lists PhD projects, advisors, and placements 2009-2024 (academia incl. Kansas S"
,B-unverified,texas_am,texas_am-agecon,PhD in Agricultural Economics,"Department of Agricultural Economics, College of Agriculture and Life Sciences",ag-resource-econ,https://agecon.tamu.edu/ph-d-agricultural-economics/,https://agecon.tamu.edu/graduate-student-placement/,https://agecon.tamu.edu/people/,"Large, distinct STEM-designated PhD program with its own admissions (GRE required); ~150 grad students, 50+ graduate faculty. Field areas: Agribusiness, Applied Market Analysis, and Natural Resource and Environmental Economics. Placement page covers PhD and MS placements 2017-18 through 2024-25 (aca"
,B-unverified,uconn,uconn-are,PhD in Agricultural and Resource Economics,"Department of Agricultural and Resource Economics, College of Agriculture, Health and Natural Resources",ag-resource-econ,https://are.uconn.edu/phd/,https://are.uconn.edu/phd-job-placement/,https://are.uconn.edu/people/,"STEM-designated PhD, distinct department and admissions from the main econ dept (~34 PhD students). Applied economics focus on natural resources, environment, agriculture, food, and development. Dedicated placement page lists academic (assistant professorships), government (USDA, EPA, Federal Reserv"
,B-unverified,umass,umass-resource-economics,PhD in Resource Economics,"Department of Resource Economics, College of Social & Behavioral Sciences",ag-resource-econ,https://www.umass.edu/resource-economics/academics/graduate/programs,https://www.umass.edu/resource-economics/academics/graduate/placements,https://www.umass.edu/resource-economics/about/directory/faculty,"Fully separate department and PhD with its own admissions (5-year, STEM-designated). Fields: environmental/natural resource economics, empirical industrial organization, applied econometrics, experimental/behavioral, health economics. Maintains a job-market candidates page (https://www.umass.edu/res"
,B-unverified,virginia_tech,virginia_tech-aaec,"Ph.D. in Economics, Agriculture (Agricultural and Applied Economics)","Department of Agricultural and Applied Economics, College of Agriculture and Life Sciences",ag-resource-econ,https://aaec.vt.edu/academics/graduate/phd.html,https://aaec.vt.edu/academics/graduate/job-placement.html,https://aaec.vt.edu/people/faculty.html,"STEM-certified PhD administered jointly by AAEC and the Department of Economics, but with separate admissions through AAEC and its own graduate program director (Chunbei Wang). Official degree designation per the 2025 Student Planning Guide is 'Ph.D. Economics, Agriculture' (sometimes styled Economi"
,B-unverified,carnegie_mellon,carnegie_mellon-econ-public-policy,Joint PhD in Economics and Public Policy,Tepper School of Business and Heinz College (joint),policy-econ,https://www.cmu.edu/tepper/programs/phd/joint-phd-programs/economics-and-public-policy,https://www.cmu.edu/tepper/programs/phd/job-market,https://www.cmu.edu/tepper/faculty-and-research/faculty-by-area/economics.html,"Distinct joint degree (PhD in Economics and Public Policy) run by Tepper and Heinz; students matriculate through either school (interest indicated on the Heinz application; also listed among Tepper joint PhDs). Qualifying exams in micro, macro, econometrics, and public economics; emphasis on labor, "
,B-unverified,cornell,cornell-brooks-publicpolicy,PhD in Public Policy (Brooks School),Cornell Jeb E. Brooks School of Public Policy,policy-econ,https://www.publicpolicy.cornell.edu/phd/,https://www.publicpolicy.cornell.edu/phd/our-students/student-placements/,https://www.publicpolicy.cornell.edu/phd/program-of-study/graduate-faculty-field-of-public-policy/,Successor to Cornell's well-known Policy Analysis and Management (PAM) PhD after the Brooks School's creation; the school's undergrad PAM major became Public Policy in 2023 and the doctoral program is now the PhD in Public Policy. Heavily economics-flavored: field faculty of 60+ include economists J
,B-unverified,michigan,michigan-ford-public-policy-econ,Joint PhD in Public Policy and Economics (Ford School),Gerald R. Ford School of Public Policy (joint with LSA Department of Economics),policy-econ,https://fordschool.umich.edu/phd/public-policy-and-economics,https://fordschool.umich.edu/phd/placements,https://fordschool.umich.edu/faculty-expertise,"One of three Ford School joint PhDs (economics, political science, sociology variants). Admissions run through the Ford School (Dec 1 deadline), separate from LSA econ admissions; students become full members of the econ department, take the complete econ PhD theory/econometrics core, select public "
,B-unverified,emory,emory-hsrhp,PhD in Health Services Research and Health Policy (Economics Track),"Department of Health Policy and Management, Rollins School of Public Health (degree via Laney Graduate School)",health-econ,https://sph.emory.edu/degrees-programs/phd/health-services-research-health-policy,,https://sph.emory.edu/faculty-directory,"Distinct PhD program with its own admissions (application via Laney Graduate School, Dec 1 deadline). Two tracks: an economics track, in which students take doctoral courses in the Department of Economics alongside econ PhD students and apply economic theory to health/health policy questions, and an"
,B-unverified,jhu,jhu-hpm-health-econ,PhD in Health Policy and Management (Health Economics and Policy concentration),"Department of Health Policy and Management, Bloomberg School of Public Health",health-econ,https://e-catalogue.jhu.edu/public-health/departments/health-policy-management/health-policy-management-phd/,,https://publichealth.jhu.edu/departments/health-policy-and-management/people/faculty,"Distinct full-time residential PhD with its own admissions (SOPHAS, Dec 1 deadline), separate from the Krieger econ PhD. Four concentrations; the Health Economics and Policy concentration (director: Matthew Eisenberg) requires the Advanced Health Economics I-IV sequence and PhD-level courses in the "
,B-unverified,michigan,michigan-sph-hsop,"PhD in Health Services Organization and Policy (HSOP), Economics cognate","Department of Health Management and Policy, School of Public Health",health-econ,https://sph.umich.edu/hmp/programs/phd.html,https://sph.umich.edu/hmp/phdstudents/phd-job-market.html,https://sph.umich.edu/faculty-profiles/index.html?department=Health+Management+and+Policy,"Distinct interdisciplinary PhD with its own admissions via SPH; applicants declare a disciplinary cognate at application. Economics is one of six cognates (economics, finance, OR/decision science, political science, quantitative methods, sociology/organizational studies), so only the economics-cogna"
,B-unverified,usc,usc-mann-healthecon,PhD in Health Economics (USC Mann School of Pharmacy),"Department of Pharmaceutical and Health Economics, USC Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences",health-econ,https://mann.usc.edu/program/phd-in-health-economics/,,https://pharmacyschool.usc.edu/research-faculty/faculty-directory/?faculty_department=department-of-pharmaceutical-and-health-economics,"Distinct PhD with its own admissions (deadline Jan 15). Training in microeconomics, econometrics, welfare economics, public finance, health economics; affiliated with the Leonard D. Schaeffer Center for Health Policy & Economics. Fully funded 5 years. Appears in USC catalogue under both 'Health Econ"
,B-unverified,vanderbilt,vanderbilt-health-policy,PhD in Health Policy (Health Policy & Health Services Research),"Department of Health Policy, Vanderbilt University Medical Center / School of Medicine",health-econ,https://www.vumc.org/health-policy/phd-program,,https://www.vumc.org/health-policy/faculty-and-staff,"Full-time, fully funded 72-credit, 4-year PhD admitted through the Vanderbilt Graduate School (deadline Dec 15), distinct from the econ department. Students choose one of three disciplinary sequences: epidemiology, ECONOMICS, or social sciences (curriculum page confirms Health Economics and Decision"
,B-unverified,bostonu,bostonu-sph-hspr,PhD in Health Services and Policy Research,"School of Public Health, Department of Health Law, Policy & Management",borderline,https://www.bu.edu/sph/education/degrees-and-programs/doctor-of-philosophy-phd/doctor-of-philosophy-in-health-services-and-policy-research/,,https://www.bu.edu/sph/about/departments/health-law-policy-and-management/,"Economics-heavy health services research PhD, not econ-branded: one of its three doctoral training tracks is 'health policy and economics', core coursework includes health economics, and students can take courses in the Economics dept and Questrom. Program director Steven Pizer is a health economist"
,B-unverified,bostonu,bostonu-earth-environment,PhD in Earth & Environment,"Department of Earth & Environment, Graduate School of Arts & Sciences",borderline,https://www.bu.edu/earth/graduate/phd-earth-environment/,,https://www.bu.edu/earth/people/,"Broad earth/environmental science PhD, NOT economics-branded, but it houses BU's energy/environmental economists via its 'Environmental Analysis & Policy' specialization (e.g., Ian Sue Wing), and a minority of dissertations are pure economics (e.g., 'Essays on the Economics of Decarbonization: Inves"
,B-unverified,carnegie_mellon,carnegie_mellon-heinz-ppm,PhD in Public Policy and Management,Heinz College of Information Systems and Public Policy,borderline,https://www.heinz.cmu.edu/programs/phd-programs/public-policy-management,https://www.heinz.cmu.edu/programs/phd-programs/phd-placements,https://www.heinz.cmu.edu/faculty-research/profiles/,"General quantitative policy PhD, not economics-branded, but with specializations including health economics and policy, labor economics, and energy/environmental policy, and recent graduates placed at economics-flavored employers (Congressional Budget Office, US Census Bureau Center for Economic Stu"
,B-unverified,cornell,cornell-johnson-sbe,PhD in Management — Strategy and Business Economics concentration (Johnson),"Samuel Curtis Johnson Graduate School of Management, Cornell SC Johnson College of Business",borderline,https://business.cornell.edu/programs/phd-in-management-strategy-and-business-economics-concentration/,,https://business.cornell.edu/faculty-research/areas/strategy-and-business-economics/,"Econ-branded ('Business Economics') but structurally ambiguous: it is a concentration inside Johnson's PhD in Management (own admissions, fully funded 5 years; research in IO, behavioral, labor, organizational economics), NOT a freestanding business-econ PhD like Wharton AppEcon or Harvard BE. Moreo"
,B-unverified,cornell,cornell-weill-pophealth,PhD in Population Health Sciences (Weill Cornell),"Department of Population Health Sciences, Weill Cornell Graduate School of Medical Sciences (NYC)",borderline,https://phs.weill.cornell.edu/education/phd-program,,https://phs.weill.cornell.edu/education/phd-program/program-faculty,Interdisciplinary population health PhD (with MSK partnership) in which 'health policy and economics' is one of the core training areas via the department's Health Policy & Economics division — but there is NO formal economics track and the degree is not econ-branded. The HPE alumni-outcomes page co
,B-unverified,cornell,cornell-regional-science,PhD in Regional Science,"Department of City and Regional Planning, College of Architecture, Art, and Planning (AAP)",borderline,https://catalog.cornell.edu/programs/regional-science-phd/,,,"Long-running distinct graduate field (70+ PhDs conferred) in spatial economics: concentrations include multiregional economic analysis, urban and regional economics, location theory. Quantitatively econ-heavy and some grads work as regional/urban economists, but the discipline is regional science, n"
,B-unverified,duke,duke-sanford-publicpolicy,PhD in Public Policy (Sanford School),Sanford School of Public Policy,borderline,https://sanford.duke.edu/academics/doctoral-program/,https://sanford.duke.edu/academics/doctoral-program/phd-job-placements/,https://sanford.duke.edu/sanford-faculty/,"Distinct PhD with its own admissions (began 2007). Not econ-branded overall: students must choose a disciplinary concentration in economics, political science, psychology, or sociology, plus a policy focus (social, global, health, environmental policy). Economics-concentration students take econ dep"
,B-unverified,georgia,georgia-fhce,"PhD in Financial Planning, Housing and Consumer Economics","Department of Financial Planning, Housing and Consumer Economics, College of Family and Consumer Sciences",borderline,https://www.fcs.uga.edu/fhce/graduate-ph.d,https://www.fcs.uga.edu/fhce/graduate-careers,https://www.fcs.uga.edu/people/dept/1/34,"Distinct PhD with own admissions; concentrations in Consumer Economics, Financial Planning, and Housing Management & Policy. Economics-branded (consumer economics) and its careers page lists recent PhD placements (e.g., assistant professorships), but most grads place in financial-planning/consumer-s"
,B-unverified,georgia,georgia-hsrp,PhD in Health Services Research and Policy,"Department of Health Policy & Management, College of Public Health",borderline,https://publichealth.uga.edu/degree/phd-in-health-services-research-policy/,,https://publichealth.uga.edu/departments/health-policy-management/faculty/,"Distinct, relatively new PhD (program code PHD_HSRP). Grad-school page lists health economics among target career fields and the department has health economics faculty, but the program has no explicit economics track (elective concentrations listed are gerontology, global health, disaster preparedn"
,B-unverified,indiana,indiana-oneill-pubaffairs,PhD in Public Affairs (O'Neill School),"Paul H. O'Neill School of Public and Environmental Affairs, IU Bloomington",borderline,https://oneill.indiana.edu/doctoral/degrees/public-affairs/index.html,https://oneill.indiana.edu/doctoral/recent-placements/index.html,https://oneill.indiana.edu/faculty-research/directory/index.html,"Distinct doctoral program (~16 admits/year across four fields: Environmental Policy, Public Finance, Public Management, Public Policy Analysis). The Public Finance and Public Policy Analysis fields are economics-heavy (O'Neill has many PhD economists in public finance/environmental econ), and some g"
,B-unverified,jhu,jhu-ih-health-systems,"PhD in International Health (Health Systems concentration, Global Health Economics specialization)","Department of International Health, Bloomberg School of Public Health",borderline,https://e-catalogue.jhu.edu/public-health/departments/international-health/international-health-phd/,,https://publichealth.jhu.edu/departments/international-health/people/faculty/primary-faculty-within-the-health-systems-program-area/,"Applicants apply directly to one of four concentrations, so Health Systems has its own admissions. The concentration hosts a Global Health Economics faculty area (https://publichealth.jhu.edu/departments/international-health/programs/program-areas/health-systems/global-health-economics) and a health"
,B-unverified,michigan_state,michigan_state-education-policy,PhD in Education Policy (Economics of Education specialization),"Department of Educational Administration, College of Education",borderline,https://education.msu.edu/ead/ed-policy-phd/economics-education/,,,"Distinct PhD with its own admissions (registrar code EDPOL1_PHD; see https://reg.msu.edu/academicprograms/ProgramDetail.aspx?Program=EDPOL1_PHD). The degree is Education Policy, not economics, but it hosts a Doctoral Specialization in the Economics of Education with doctoral-level economics and econ"
,B-unverified,ohio_state,ohio_state-glenn-pubpolicy,PhD in Public Policy and Management (John Glenn College),John Glenn College of Public Affairs,borderline,https://glenn.osu.edu/graduate-programs/doctoral-program,https://glenn.osu.edu/graduate-programs/doctoral-program/doctoral-job-candidates-and-placements,https://glenn.osu.edu/faculty,"Distinct PhD with its own admissions. Curriculum draws on economics, political science, and sociology rather than being explicitly economics-branded (closer to a general public affairs PhD than Cornell PAM/Harvard PEG). Maintains its own doctoral job candidates and placements page; placements are mo"
,B-unverified,pittsburgh,pittsburgh-hsrp,PhD in Health Services Research and Policy,"Department of Health Policy and Management, School of Public Health",borderline,https://www.publichealth.pitt.edu/hpm/degree-programs/health-services-research-and-policy-phd-program,,https://www.publichealth.pitt.edu/hpm/directory,"Distinct PhD with its own admissions (72 credits) in the Dept of Health Policy and Management. Not formally an economics-track program, but requires health economics coursework and econometrics/quasi-experimental methods; PhD program is directed by health economists (Lindsay Sabik, Coleman Drake) an"
,B-unverified,texas_am,texas_am-hsr,PhD in Health Services Research,School of Public Health (Department of Health Policy and Management),borderline,https://catalog.tamu.edu/graduate/colleges-schools-interdisciplinary/public-health/interdepartmental/health-services-research-phd/,,,"Distinct PhD with its own admissions (admits Fall of odd years only). Not economics-branded overall, but every student must choose one of two cognates: (1) health economics or (2) health politics and policy; the health economics cognate trains health economists (advanced health economics, cost-effec"
,B-unverified,uc_irvine,uc_irvine-transportation-science,Ph.D. in Transportation Science,"Institute of Transportation Studies (interdisciplinary: Civil & Environmental Engineering, Economics, Urban Planning & Public Policy)",borderline,https://transci.uci.edu/program_phd.html,https://transci.uci.edu/node/54.html,https://transci.uci.edu/faculty.html,"Distinct interdisciplinary PhD (also listed in UCI catalogue under Interdisciplinary Studies) with its own admissions, not a track of the econ PhD. Economics dept is a core participating unit and students must take graduate urban/transportation economics coursework; econ faculty (e.g., Jan Brueckner"
,B-unverified,uc_santa_barbara,uc_santa_barbara-bren-esm,PhD in Environmental Science and Management (Bren School),Bren School of Environmental Science & Management,borderline,https://bren.ucsb.edu/phd-environmental-science-and-management,,https://bren.ucsb.edu/people/faculty,"Distinct doctoral program with its own admissions, but NOT economics-branded (interdisciplinary environmental science/management). Included as borderline because Bren houses a strong environmental/resource economics faculty group (Christopher Costello, Kyle Meng, Andrew Plantinga; Olivier Deschenes "
,B-unverified,uic,uic-sph-hpa,"PhD in Public Health, Health Policy and Administration concentration","Division of Health Policy and Administration, School of Public Health",borderline,https://publichealth.uic.edu/academics/public-health-degrees/phd-public-health-degrees/phd-health-policy-administration/,,https://publichealth.uic.edu/health-policy-administration/faculty-hpa/,"Students are admitted directly into the HPA concentration of the PhD in Public Health (separate admissions from the Community Health Sciences concentration). No formally branded economics track, but the curriculum requires Advanced Topics in Health Economics with electives in Health Economics I, eco"
,B-unverified,usc,usc-marshall-fbe,PhD in Finance and Business Economics (USC Marshall),"Department of Finance and Business Economics (FBE), USC Marshall School of Business",borderline,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/finance,https://www.marshall.usc.edu/programs/phd-program/placement,https://www.marshall.usc.edu/departments/finance-business-economics/faculty,"Marshall admits PhD students by department; the application track is 'Finance & Business Economics' and the host department is branded FBE, but the program page describes it as the 'Finance Ph.D. program' training students in financial economics (formal degree is Business Administration PhD). Curric"
,B-unverified,usc,usc-price-ppm,PhD in Public Policy and Management (USC Price),USC Sol Price School of Public Policy,borderline,https://priceschool.usc.edu/academics/doctoral/ph-d-in-public-policy-and-management-ppm/,https://priceschool.usc.edu/academics/doctoral/select-first-year-placements/,https://priceschool.usc.edu/faculty/directory/,"Distinct PhD with its own admissions (Dec 1 deadline) and 4-year full funding. Economics is one of several possible specialization areas (alongside sociology, political science, organizational theory), and Price faculty include many applied/health economists (Schaeffer Center affiliations); the scho"
,B-unverified,uva,uva-darden-dads,PhD in Data Analytics and Decision Sciences (Darden),Darden School of Business,borderline,https://www.darden.virginia.edu/phd/data-analytics-and-decision-science,,https://www.darden.virginia.edu/faculty-research/academic-areas/data-analytics-decision-sciences,"Distinct PhD with its own admissions (applications launched Aug 2022, so very new — no placement record yet). NOT branded economics, but content is Kellogg-MEDS-like: dynamic programming, game theory, mechanism design, search theory, decision analysis, pricing; requires microeconomics and econometri"
,B-unverified,uva,uva-education-policy,PhD in Education - Education Policy,"School of Education and Human Development (Department of Education Leadership, Foundations & Policy)",borderline,https://education.virginia.edu/academics/programs/education-policy-phd-doctor-philosophy-education,,https://education.virginia.edu/research-initiatives/research-centers-labs/edpolicyworks/edpolicyworks-people,"PhD in Education with a distinct Education Policy concentration and its own admissions (Dec 1 deadline, ~5 years, fully funded). Not econ-branded, but explicitly built on causal-inference methods and a social-science discipline grounding; hosted alongside EdPolicyWorks with economics-of-education fa"
,B-unverified,vanderbilt,vanderbilt-peabody-edpolicy,Education Policy and Leadership (Ph.D.) (formerly Leadership and Policy Studies),"Department of Leadership, Policy, and Organizations (LPO), Peabody College",borderline,https://peabody.vanderbilt.edu/academics/phd-programs/education-policy-and-leadership-phd/,https://peabody.vanderbilt.edu/departments/lpo/recent-phd-placements.php,,"Top-ranked education policy PhD with its own admissions (deadline Dec 1); interdisciplinary training that includes required economics-of-education coursework alongside sociology/political science, a 3-semester quant sequence, and causal inference. NOT economics-branded (contrast NYU Steinhardt Econo"
,B-unverified,carnegie_mellon,carnegie_mellon-behavioral-econ,Joint PhD in Behavioral Economics,Department of Social and Decision Sciences (Dietrich College) and Tepper School of Business (joint),other,https://www.cmu.edu/dietrich/sds/graduate/fields.html,https://www.cmu.edu/tepper/programs/phd/job-market,https://www.cmu.edu/dietrich/sds/people/index.html,Launched December 2017 as the first behavioral economics PhD program in the US (announcement: https://www.cmu.edu/news/stories/archives/2017/december/behavioral-economics-phd.html). Admissions run through the SDS doctoral application; students have one advisor from SDS and one from Tepper; qualifier
,B-unverified,vanderbilt,vanderbilt-law-econ,Ph.D. in Law and Economics (J.D./Ph.D.),Vanderbilt Law School,other,https://law.vanderbilt.edu/phd-law-economics/,https://law.vanderbilt.edu/phd-law-economics/graduates/,https://law.vanderbilt.edu/phd-law-economics/faculty/,"First program of its kind in the US, founded 2006 by W. Kip Viscusi and Joni Hersch (ex-Harvard Law). Grants a distinct Ph.D. in Law and Economics alongside a J.D. in an integrated ~6-year curriculum (72 hours incl. micro theory, econometrics, and law-and-econ fields: behavioral law and econ, labor "
,B-unverified,indiana,indiana-indianapolis-econ,"PhD in Economics (Applied Health Economics), IU Indianapolis","IU Indianapolis (formerly IUPUI), School of Liberal Arts, Department of Economics",separate-econ-dept,https://www.bulletins.iu.edu/iuin/2024-2025/schools/liberal-arts/graduate/degrees/economics%20ma%20and%20phd.shtml,,https://liberalarts.indianapolis.iu.edu/about/directory/index.html?field_2=economics,"Fully separate economics department on the Indianapolis campus with its own PhD (first cohort 2010), specializing in health economics and applied econometrics; 90 credit hours with a required health-related minor. Also listed as 'Economics Ph.D. specializing in Applied Health Economics' in the same "
